image_name,warm_percentage,cold_percentage,unique_colors,quantized_colors,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2
202,0.7630079058650487,60.55398510755654,5864,16,22,27,31,103,74,31
203,14.742445054945055,78.72596153846155,14463,16,27,32,37,105,69,37
204,93.28453453453453,0.12387387387387387,4981,16,16,7,5,5,175,16
205,86.39914772727273,1.0731090198863635,24228,16,47,18,12,5,190,47
206,96.7386108913502,0.290084388185654,51356,16,202,158,105,16,122,202
207,2.3533839977057642,89.49042873530256,37552,16,2,4,20,117,230,20
208,7.693368780096309,38.38157102728732,20536,16,250,252,253,100,3,253
209,7.917443472441321,20.291361919785842,24814,16,107,114,90,39,54,114
21,3.1934274293395593,59.94906080865966,15047,16,20,23,29,110,79,29
210,0.0830846446011937,32.0604991861096,13244,16,112,119,116,77,15,119
211,40.42749932993836,0.13970785312248726,24371,16,6,6,1,30,213,6
212,89.08069244729862,2.7767695099818512,45153,16,16,11,8,11,128,16
213,78.6987433862434,0.20833333333333334,20681,16,174,166,141,23,48,174
214,93.03500117453606,0.03229974160206719,38374,16,15,5,3,5,204,15
215,64.3425555268595,19.396871771694215,71791,16,22,16,17,175,70,22
216,47.839362297221705,22.483218347939584,46291,16,242,242,239,30,3,242
217,8.499012198563769,51.18849760105365,13170,16,14,12,16,135,64,16
218,65.34914361001317,31.421128278835788,72132,16,62,22,27,176,165,62
219,0.11529933481152993,57.3940737754485,6939,16,28,34,34,90,45,34
22,2.11600142551675,85.40894511760513,53302,16,13,27,44,106,180,44
220,91.34061239319452,3.291863990578566,90001,16,75,31,27,3,163,75
221,91.18474687705456,7.460880999342538,73857,16,67,13,52,158,206,67
222,2.9380747490086896,79.31606625608144,10602,16,28,26,32,130,48,32
223,78.75623441396509,10.837056663895817,96763,16,217,142,133,3,99,217
224,8.499908586751173,25.083795478091293,54657,16,11,15,14,83,68,15
225,4.442873303167421,94.85576923076923,29650,16,24,47,145,114,213,145
226,92.41492934541537,0.14574488308725683,6509,16,195,191,187,15,10,195
227,13.231552162849871,0.3913728341209257,53514,16,27,34,15,41,143,34
228,0.21789369428854405,0.09904258831297458,19654,16,57,65,37,39,110,65
229,2.510165780419143,8.754735342161053,44187,16,113,156,109,57,77,156
23,96.5171875,0.27499999999999997,39258,16,222,67,140,166,178,222
230,0.0,59.12698412698413,6755,16,118,166,169,92,77,169
231,30.93076335263835,37.42911438223938,48571,16,18,26,33,104,116,33
232,6.630413482265333,72.36429551244366,32918,16,206,213,222,107,18,222
233,29.575765013909344,0.0,8427,16,30,30,17,30,111,30
234,92.40234555360605,0.8880475267029888,28425,16,11,5,4,4,162,11
235,24.57755998648192,8.641010476512335,17387,16,13,12,9,23,78,13
236,36.80722891566265,45.08084971464806,30136,16,52,44,55,142,51,55
237,86.70551285230185,8.591619142077858,39061,16,34,24,23,3,83,34
238,95.19909502262443,2.7963800904977374,17615,16,115,87,90,177,62,115
239,93.67367848778856,0.1432335229173637,24860,16,32,20,17,6,120,32
24,64.66724039013195,0.11761331038439471,48955,16,26,17,7,16,186,26
240,97.4365292712067,0.0,53801,16,200,56,53,1,187,200
241,25.8974358974359,31.977564102564106,6704,16,22,21,22,150,12,22
242,81.06531425891183,4.584896810506567,6572,16,57,51,52,175,27,57
243,81.608,2.133,50706,16,56,30,36,173,118,56
244,98.05962032825786,0.009269329642080285,54057,16,65,56,37,20,110,65
245,55.037791610001044,0.7973506642954283,33965,16,252,252,251,30,1,252
246,33.23742577715683,1.5154558155780649,41647,16,5,4,4,0,51,5
247,0.6385574837310195,0.35068691250903833,12976,16,37,53,34,55,91,53
248,15.88914349950279,65.64810411172121,22113,16,15,9,27,130,170,27
249,34.26129426129426,2.8785103785103785,17282,16,54,55,38,32,79,55
25,0.2917771883289125,71.06174476864132,38682,16,28,50,68,104,150,68
250,26.344202898550723,68.36413043478261,28724,16,10,7,42,123,213,42
251,90.85098870056497,7.122446762277271,154648,16,116,69,49,9,147,116
252,76.35197489848653,22.946659283868588,25437,16,88,62,38,14,145,88
253,65.48870117004472,13.543200621167903,45996,16,170,121,122,179,74,170
254,97.87619787619788,0.3723128723128723,19136,16,172,113,116,178,87,172
255,70.36648250460405,7.330263965623082,41797,16,11,9,7,15,93,11
256,4.099718111346019,67.56518675123327,7188,16,7,9,13,110,118,13
257,0.0024786833234186002,43.79833432480667,10651,16,72,82,84,95,36,84
258,30.713697824808932,58.61081716637272,46004,16,163,189,220,106,66,220
259,84.23933855526545,2.411662315056571,30267,16,31,25,20,14,90,31
26,38.054073033707866,38.44873595505618,70525,16,19,23,27,105,76,27
260,86.01294176207068,0.5081300813008129,9720,16,27,21,19,8,76,27
261,99.06684027777779,0.018601190476190476,13508,16,44,33,23,14,122,44
262,99.89330637915543,0.0,8267,16,52,34,23,11,142,52
263,76.98652482269503,15.832624113475177,63136,16,236,179,72,20,177,236
264,19.234800838574422,74.29335646642087,36554,16,118,110,116,158,17,118
265,33.72955010224949,53.018185801928134,17112,16,26,10,12,176,157,26
266,25.25594599427754,73.90580293276109,24807,16,210,241,252,98,43,252
267,96.9999598119198,0.5390226258891613,47529,16,222,168,142,10,92,222
268,44.7897946084724,0.9050064184852374,6487,16,5,5,5,0,0,5
269,46.9011544011544,5.616883116883117,6868,16,12,10,9,10,64,12
27,71.03086820635629,1.0096602670779722,34303,16,47,35,25,14,119,47
270,48.576851851851856,35.94166666666666,41561,16,10,10,9,30,26,10
271,0.04665071770334928,95.42224880382774,52190,16,112,160,206,105,116,206
272,0.14656341602135012,91.91057444109025,24164,16,3,4,25,119,224,25
273,47.5531462585034,47.760416666666664,120626,16,155,109,99,5,92,155
274,53.07506503158677,14.977989309092987,22326,16,33,33,30,30,23,33
275,3.1930272108843534,77.49149659863946,9173,16,16,19,21,102,61,21
276,3.363622242932588,3.6983535259397327,31336,16,4,8,5,68,128,8
277,0.0,65.90534053405341,7544,16,3,16,20,97,217,20
278,88.01380309616411,1.8912529550827424,20462,16,231,193,80,22,167,231
279,30.451700898587937,22.09563543003851,16764,16,222,209,147,25,86,222
28,29.073198198198195,32.835585585585584,26982,16,17,19,18,75,27,19
280,1.374229710239937,98.24308378130327,48498,16,168,199,216,101,57,216
281,18.311507936507937,2.138888888888889,21653,16,12,14,11,50,55,14
282,0.007301401869158878,1.613609813084112,5918,16,148,160,149,63,19,160
283,80.13148199318411,16.30169475914157,37207,16,224,196,109,23,131,224
284,80.38293857365956,2.877732951587715,23506,16,166,131,82,18,129,166
285,7.775697753573859,83.33390061266167,8988,16,12,14,18,110,85,18
286,40.799857179167525,57.22485808692706,122601,16,70,79,84,101,42,84
287,20.682649594983015,65.06467206689312,60278,16,34,25,42,136,103,42
288,37.63086403392526,57.02441690962099,45924,16,51,13,55,147,195,55
289,2.9973092446665386,21.88256774937536,35145,16,52,87,86,89,103,87
29,5.4339854901652656,0.31756632880228386,8880,16,17,20,18,70,38,20
290,76.35531135531136,19.703170392825562,45768,16,208,144,168,169,78,208
291,40.24082642503695,25.310873337189125,33022,16,9,10,9,60,26,10
292,75.60442386831275,4.873971193415637,8688,16,15,5,2,7,221,15
293,88.20263364779875,1.0839229559748427,42718,16,18,7,3,8,213,18
294,93.72433743934305,2.789183360291983,78560,16,245,228,151,25,98,245
295,4.775705645161291,22.80241935483871,2833,16,5,5,6,120,43,6
296,0.41210496263747176,93.48824507832477,21086,16,230,233,236,105,6,236
297,57.789640705679865,8.218588640275387,29024,16,3,2,1,15,170,3
298,38.905057718646056,60.8870573273332,34469,16,38,23,94,126,193,94
299,97.61904761904762,0.018601190476190476,26945,16,218,129,68,12,175,218
3,7.203159041394336,82.54357298474946,5705,16,109,100,139,127,72,139
30,3.3520015906680807,89.53141569459173,7502,16,246,247,250,113,4,250
300,0.03571428571428571,94.52142857142857,14498,16,25,15,81,125,208,81
31,90.32246376811595,0.7398550724637681,32877,16,178,137,50,20,183,178
32,0.0978928156628505,6.511116641778663,2536,16,1,2,2,90,128,2
33,55.6063425289216,12.52932610630208,28351,16,13,13,10,30,59,13
34,0.007592849704963555,95.96982384588685,13108,16,196,198,203,111,9,203
35,79.72671857391661,17.50396988013523,72562,16,39,12,16,176,177,39
36,60.776399887958036,35.600061113798986,48237,16,53,96,174,109,177,174
37,88.47512775471095,10.359443202384755,102550,16,229,217,191,21,42,229
38,42.89847215922292,24.122957439511445,64749,16,11,18,19,94,107,19
39,75.35162713734142,8.521787093215664,43914,16,19,10,12,173,121,19
4,26.47634152788792,21.847739888977003,6523,16,7,4,6,160,109,7
40,30.335365853658537,54.0909994697773,27027,16,39,70,100,105,156,100
41,0.0004893517068587536,99.30071641089884,15864,16,169,180,184,98,21,184
42,73.27149587750294,21.265459363957596,70225,16,222,209,210,178,15,222
43,76.17349991452504,2.8847797595304576,48582,16,142,44,44,0,176,142
44,49.78940217391305,5.037364130434783,30928,16,8,6,6,0,64,8
45,0.11835548172757476,96.44864341085271,42353,16,19,31,46,107,150,46
46,88.80770727909693,3.6994939665239395,133357,16,152,107,82,11,117,152
47,19.05100248036379,3.526767259198016,44909,16,229,237,231,68,9,237
48,1.4644351464435146,96.18231244526612,43954,16,186,176,206,130,37,206
49,1.9988568988041404,27.878479549793987,15149,16,252,253,253,90,1,253
5,24.662793347003873,73.6511733880155,40962,16,94,119,151,107,96,151
50,35.43589743589743,11.132692307692308,39548,16,17,17,16,30,15,17
51,0.7345652789578023,44.03143585386576,5914,16,252,252,252,0,0,252
52,97.98611111111111,0.02665544332210999,22184,16,223,213,201,16,25,223
53,3.4598590470353914,50.285353148460246,38378,16,250,251,251,90,1,251
54,4.952805590321234,54.0636733416771,38438,16,64,73,75,95,37,75
55,80.2827965435978,13.11861743912019,8014,16,239,227,211,17,30,239
56,6.776502044668134,0.2996225228059138,3634,16,2,2,2,0,0,2
57,74.11764705882354,18.165200659703135,30238,16,243,221,77,26,174,243
58,3.5304172510518934,79.07170406732118,11993,16,67,143,202,103,170,202
59,61.13675298970443,28.671639805066278,52796,16,238,163,109,13,138,238
6,88.85790981631231,2.6947330370053018,43937,16,21,14,13,4,97,21
60,9.61111111111111,6.46111111111111,8599,16,4,3,3,0,64,4
61,13.012441818832796,46.39634801288936,13763,16,22,23,25,110,31,25
62,30.358005104504382,62.63106159895151,44690,16,39,28,48,137,106,48
63,95.94627971596171,0.349644952145724,79016,16,193,88,47,8,193,193
64,2.2640675907007566,42.27041802418687,52726,16,9,16,15,86,112,16
65,99.9797710078084,0.0,18325,16,72,17,15,1,202,72
66,53.86940181647354,42.92593172564986,90664,16,96,53,53,0,114,96
67,53.865979381443296,1.8460513984116806,30179,16,252,251,250,15,2,252
68,0.032728510460031945,79.79210850155788,5922,16,10,13,16,105,96,16
69,14.694376678741284,2.0955003573100712,20132,16,12,11,11,0,21,12
7,37.32523444160273,58.87041773231032,104812,16,33,18,28,160,116,33
70,48.5510956379275,9.859034746399072,18474,16,26,19,19,0,69,26
71,62.34816589237321,34.191710220673635,79007,16,29,20,29,150,79,29
72,16.235172160403106,75.06364161242914,46478,16,122,106,150,131,75,150
73,52.468656544743496,35.321773636991026,83008,16,10,13,13,90,59,13
74,7.006028298126744,77.00403547229972,37264,16,80,169,190,96,148,190
75,15.339798129260688,51.963219362680334,47449,16,31,36,40,103,57,40
76,74.1864406779661,6.419491525423729,13522,16,170,151,119,19,77,170
77,8.523529411764706,51.647678018575846,80120,16,112,116,110,50,13,116
78,19.54549363605091,74.8312263501892,47831,16,18,19,24,115,64,24
79,16.23559670781893,57.54218106995885,13406,16,15,12,17,138,75,17
8,15.683520599250937,53.71773006955591,42338,16,248,248,249,120,1,249
80,34.38635549413993,52.569220533292395,54179,16,227,228,232,114,5,232
81,0.07510729613733906,97.10147148988351,12819,16,45,66,82,103,115,82
82,52.20359559144478,43.07139349628983,28492,16,11,6,12,145,128,12
83,4.083570750237417,75.75182019626465,3375,16,5,5,9,120,113,9
84,0.6015793251974156,0.09655419956927495,47839,16,92,116,100,70,53,116
85,52.38622058995289,46.47501200410086,28716,16,216,223,229,104,14,229
86,33.490196078431374,1.5568627450980392,11919,16,218,220,211,37,10,220
87,19.734251968503937,5.327412010245707,32833,16,181,188,184,73,9,188
88,99.5905374799757,0.01657183892172568,104710,16,202,73,66,2,172,202
89,61.25911803713527,29.673408488063664,71958,16,31,13,30,152,148,31
9,69.87860818975162,1.8761188185276347,18400,16,226,120,63,10,184,226
90,46.904041379606376,8.829652522911168,36756,16,9,7,7,0,57,9
91,32.397524120740854,56.8963255375735,55487,16,180,174,125,27,78,180
92,0.26108374384236455,90.45812807881774,5493,16,3,37,69,105,244,69
93,37.725335193365886,25.387894288150044,29160,16,244,243,211,29,34,244
94,91.6786703601108,1.8337950138504155,9045,16,47,39,34,12,71,47
95,99.75417895771878,0.0,5764,16,63,57,50,16,53,63
96,11.842449131976853,4.372783274220645,5904,16,10,10,10,0,0,10
97,13.080495356037153,35.500515995872036,1509,16,8,8,7,30,32,8
98,46.73222826983341,50.1937984496124,34014,16,98,59,72,170,101,98
99,27.308879392212727,47.471509971509974,6690,16,204,193,211,138,22,211
