image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation
149,144.66872575476472,90.18393700455388,100.27469851576994,42.23146206628969,59.147364522188816,56.581056640561506,169.4503921403272,108.07705768257716,144.67787569573284,26.68219716692986,45.52072231715139,42.25454859360967,102.4959560739585,108.07705768257716
150,55.864386243796524,46.520684708436725,51.199441687344915,71.45004713569773,71.79051701303976,70.39603263112633,129.9396033653846,82.56330451302729,57.710782413151364,50.30194775410796,50.65323827964231,70.6858427950198,48.84496190873139,82.56330451302729
151,134.09377173913043,110.29086956521739,76.39394565217391,66.36636786014478,57.83488175028912,45.1839520650277,30.003076086956522,125.07648369565217,141.06201086956523,28.607411461674538,65.85642629189564,63.309675854688074,112.90400866086955,125.07648369565217
152,152.4100672725127,115.05608993272749,94.41832880915851,56.14703905147467,67.84444017356608,68.61118033858513,12.787619497226483,114.81325976631653,152.52319131358433,16.46856753524701,58.09640717704756,56.23430994614625,121.50749916204414,114.81325976631653
153,132.05016447368422,92.40654370300751,77.22521146616542,55.08557890466727,65.24093185150572,68.76988798944726,10.479793233082706,126.51421522556392,132.0640272556391,16.622712137067495,59.927913580591394,55.11609639571358,99.73868529135338,126.51421522556392
154,40.52120210075861,31.374878428321338,26.320714193088246,76.649130282818,56.715267705566724,21.280228302369725,100.44054334435583,169.52796959087078,49.49801432924853,47.9550284654484,61.68931138784699,72.64884933393778,32.954476183297665,169.52796959087078
155,79.86134222919937,37.59635007849293,35.67607927786499,59.037628397501365,71.33572247233359,71.5425143444434,14.472527472527473,192.01424646781788,79.86251962323391,45.15114368289826,89.86367746215673,59.04107190218434,46.44324385792778,192.01424646781788
156,180.57285429141717,147.50736027944112,139.88865058344848,53.725796336071795,81.70817081580152,86.74577201141298,78.0782329571626,77.57495585751573,181.3258147167204,69.57377687201839,95.89260569569578,53.65599269715127,153.98701346633655,77.57495585751573
157,108.91641846612063,110.16234642591213,115.63393521965749,78.25687355104533,77.82950308447299,75.40264391112215,100.2039277736411,24.574599776619507,115.66876861504095,38.2690965696463,26.034230410013397,75.46152331089868,110.2925108525689,24.574599776619507
158,160.11793382082874,164.45542839493805,178.75798440682493,95.37714676731268,83.89538723678237,51.29561619282547,63.48095512371031,93.17662526294701,198.98416474673613,45.37193741193123,75.77038155578757,53.354973026735394,164.56592159254066,93.17662526294701
159,72.514078090118,53.29131167706957,35.600699348489684,90.63054989280784,72.10102494250732,47.78298328585362,41.34162148617249,134.6322554558294,72.68077702856623,61.275592537083696,83.97919401017607,90.5019919638425,56.10080960636018,134.6322554558294
160,93.74835526315789,81.3082947069378,74.98192658492823,62.344601046055416,66.11111786817106,67.20581514623558,11.437630831339712,77.44316312799043,93.75626121411483,13.7960474838068,53.33705271588322,62.36461658873083,83.4962878027811,77.44316312799043
161,112.66580090800211,110.9120094421079,115.00583516697769,109.51079663823548,109.3731679107064,108.91520269376339,41.0023744533883,31.02243545107651,116.30659694175974,58.011888408013505,69.39328060160263,109.2360739258158,111.5804397250926,31.02243545107651
162,225.5434045613314,103.33891514279844,102.58860694472982,18.108765407595076,58.612864962172104,56.87186372860008,80.2860078076844,146.66909800698582,225.56163961372508,86.57224272729634,54.87803235206732,18.13539334858557,129.26541734127798,146.66909800698582
163,174.50880664652567,96.93147280966767,118.16913141993957,50.406253338397505,72.20274990645741,57.713654002406564,133.27610271903322,130.6590181268882,174.52523413897282,64.87393287045973,67.13430017556789,50.41555064584084,114.95777293504531,130.6590181268882
164,67.43525725729859,61.965282652682,71.89320518643927,58.46768894379376,57.19803024338779,57.11189213128263,110.5212092744766,69.33820766403765,76.45024672750547,43.257152480425916,47.02414514473667,57.69775606362353,63.84499526056076,69.33820766403765
165,62.37770807734592,42.96032464592899,50.45967794089116,66.51316825886192,52.048004495689625,51.816191618506025,92.31156631960162,85.2883657763694,67.48483476686283,62.27384028791467,63.79409700119405,64.58500897615569,47.6299136713445,85.2883657763694
166,99.46171261420099,86.2784350456804,97.26196105145056,94.34816479808943,92.01544673621001,90.08391245413922,114.76335350216381,110.61670540150665,109.22426470588235,38.562512568279644,84.6518455755618,91.87312624152398,89.8742104343645,110.61670540150665
167,47.98314996301775,29.31924926035503,32.56900656434911,73.85377310019332,63.56652474292825,62.426362126530506,105.66611963757397,171.22010216346155,50.71085660133136,57.159181581492945,85.7901959136247,72.60624013933052,33.52182702708949,171.22010216346155
168,41.503166748126425,36.008410720104266,50.002871456500486,84.51845820028296,78.40835168533346,75.81150465098389,116.74764784946237,201.512717904855,53.03846937113066,29.80951714819002,96.88546137054088,79.9090735171273,38.186995916829595,201.512717904855
169,36.43705484330484,23.81687242798354,35.104166666666664,78.28173331566495,64.59220889466305,61.09905533155225,106.59248377651156,218.22720797720797,47.78915400443178,41.817161663406424,81.8208699000218,73.75081123889113,27.314865853513773,218.22720797720797
170,215.06960972850678,197.5062556561086,174.26358597285068,37.94387349372338,51.11013743524598,64.0867300824557,18.460067873303167,56.51564479638009,215.08217194570136,7.6544415577526035,48.0333377068402,37.95541771864791,199.5621039807692,56.51564479638009
171,108.82707182320442,76.29538279400158,58.04952644041042,55.44005637780079,65.29017980763157,70.51061898238189,10.894356748224151,151.3798737174428,108.82726913970008,5.313302515698209,71.06634164346285,55.44045169527452,81.89426905288082,151.3798737174428
172,76.13793869124778,53.36096908156897,62.857494358826635,37.85575442345415,42.02593432260353,42.40217636908128,157.34741226175043,91.82404940227568,77.64209155504345,31.228908606119614,34.326891202118176,40.23251588577345,58.88900194560468,91.82404940227568
173,85.39313149127963,51.56796982167352,61.19632569077014,53.055554113705035,48.86519121558845,47.948990755833265,153.44858906525573,105.5806192435822,85.4141975308642,43.97967740624609,44.29371726146207,53.09510983229307,59.454366486380565,105.5806192435822
174,211.09786580302276,221.76324530808836,229.347512871616,25.27272736301957,27.467938176494037,35.83099299301892,97.14122100426286,42.43308143719205,239.67424431157616,34.304627778339444,26.959504892868228,15.233703400848443,220.04336974339807,42.43308143719205
175,202.6197881451431,183.40154759221696,186.57332281571632,56.34050811464657,85.17019532969317,89.6588719261639,85.2802757118173,58.965507850649836,210.2452952445346,56.207430230220425,77.5208201651115,59.27747606604867,187.71634770490567,58.965507850649836
176,41.45971433080808,72.07354797979798,104.03650436658249,36.84834031811525,45.69874274397074,52.70611211010962,105.73652541035354,173.35363399621212,104.03830623947812,2.4947399558730896,44.92743652126073,52.70488594311372,67.87277239714857,173.35363399621212
177,46.829595269097226,36.2591796875,90.16696506076389,50.644776270493786,50.483478160785694,57.60163169951326,124.75624457465278,171.78055013020833,90.16699761284723,9.874361934514148,66.1057253923307,57.60171703307951,42.398592144097215,171.78055013020833
178,206.32819302225764,184.6616285486541,169.1567539395426,60.200011706460565,67.29676470873524,63.85029054424768,16.60615304433135,49.0494818811699,206.34182046722668,18.21711374888997,50.42380939166251,60.17069919023689,188.14848820896435,49.0494818811699
179,23.15971182025399,16.704973949853468,12.436242266362749,53.928516159884914,46.588495127267564,39.55587356206626,37.68589221751872,197.56299251058286,23.216232497557797,60.45506586059518,86.0084948703351,53.910243889490175,17.769048793552592,197.56299251058286
180,61.24631958762887,62.6139793814433,64.29256701030928,29.337042782768798,27.07861328355675,22.580428584506116,84.86531958762886,33.8629587628866,66.79031958762887,41.10579643263969,26.016974100558848,26.83535602696013,62.444408936082475,33.8629587628866
181,122.66740688264625,90.91188932181684,89.47974169641154,77.76547669766587,78.59177364292567,66.8419689291865,76.30458979319364,116.04803683823329,125.46138388599766,71.30937667202446,65.54832571079682,74.72200972174343,97.55971129669491,116.04803683823329
182,130.48898467432952,122.34530651340997,145.4445128626163,54.23400527374947,55.72747251650531,46.77971806709096,125.0813492063492,48.04570333880679,145.728995621237,30.05401117257276,24.140115461156903,46.91054439755007,125.74441518883414,48.04570333880679
183,102.82151504669665,110.83666674902406,105.84754410238672,110.69903998139232,103.19480940631804,105.92621374376446,65.72734347976478,94.9289358600583,113.39243094332164,38.825068150068496,80.25199159679367,103.35308993483957,108.77243084202205,94.9289358600583
184,208.28463094639565,203.76391582273936,192.00412985707104,53.27803637073665,58.255440031669444,70.23450513525283,25.340054825348943,28.222898561133857,208.41089683736743,30.02808791342221,31.820837431811164,53.386404238233496,203.87596331130737,28.222898561133857
185,164.55897016926428,156.98973521032346,127.44961873638344,27.87064466241103,30.669165693972097,31.314667573694567,24.897247360482655,60.739169599463715,165.52281297134238,5.822512045545392,18.887023427324287,29.210098796908664,156.4661581531758,60.739169599463715
186,111.81230981361735,96.68691755420312,74.8089221186763,52.648422031269476,58.53988802463984,66.90964040314408,20.872052111068847,112.07775057055915,113.17972613160897,14.82019258400598,66.12809557344906,53.14008635508212,98.32298467810955,112.07775057055915
187,82.5985053763441,88.9024623655914,100.02180107526881,67.93370785024348,68.58996197883914,65.77105299301962,103.90349462365592,62.096559139784944,100.66698924731183,29.517970080617356,45.49503067498219,65.90136060542048,88.36505736451613,62.096559139784944
188,114.81025564642799,135.08407355251043,154.45935113470185,44.77603460059467,39.70131179716419,34.23933254517625,101.4591344851866,70.25264041596706,154.51424470562748,17.19118454093487,26.526019207558186,34.30004668828655,132.1727549071115,70.25264041596706
189,93.43789197335796,51.51349117604162,51.57304681802713,55.4079375657175,17.905845583288006,15.852682740110787,78.09612766784967,109.54492196995479,96.42545821381691,73.30292350956434,56.05835072917054,53.05305729152083,60.430918702902424,109.54492196995479
190,35.18956043956044,30.67821268079,30.971224651637023,74.81426259137787,72.35615243245886,72.3989119640773,19.816651561496922,42.22717231222386,35.29162418337676,51.069547076054285,87.35441413343113,74.77447290336151,31.65848067859975,42.22717231222386
191,72.92255942841881,77.45717592592592,79.80311275819088,101.90591953131425,99.6833386169843,98.47800489800505,83.70482772435898,92.07261618589743,79.84810697115384,38.04944116714477,75.76648341527337,98.55075802530192,76.66249309784546,92.07261618589743
192,44.210728744939274,49.684649122807016,52.28937246963563,69.57264133268255,68.89674191427174,68.48874900271547,92.45924426450742,99.21565452091768,52.30762483130904,28.089117846581864,76.15197921572417,68.50069078643244,48.708954676113365,99.21565452091768
193,122.24915611814346,140.41993670886075,133.8707805907173,45.833791512764215,43.1581592776184,45.90813922924709,76.67004219409283,39.02035864978903,141.26793248945148,14.086224425431332,18.432986938266403,43.39153684262712,136.08397968354427,39.02035864978903
194,82.47052332912989,104.73076923076923,106.6297288776797,52.60434368716777,51.46671287063512,52.3675252186937,89.41141235813367,74.50504413619167,108.35498108448928,11.951247473135892,46.92888531815967,52.137998003802615,100.13534583858765,74.50504413619167
195,77.01411049062625,71.07895891503789,36.60354673580641,81.01794030775687,64.2824380801787,18.261346602468663,62.38761135487302,145.29588817976332,84.36326618800692,41.93904187870913,55.643688281643556,75.57017173320685,69.85164738066747,145.29588817976332
196,41.30663082437276,51.68252688172043,58.55864695340502,78.39582882741868,75.7051931623667,73.58649581945576,91.92186379928316,147.33853046594982,58.568548387096776,30.66244691812233,85.23635756882605,73.60418551611983,49.97306724910394,147.33853046594982
197,57.83745,61.108,60.8001,77.85545406390739,77.17195433575775,77.3547363772227,74.4058,44.0241,62.27065,42.75146811935206,42.842385778453796,76.94286255772856,60.390450689999994,44.0241
198,112.0469356261023,98.09000587889477,38.54221413874192,113.56495816225167,106.92047087898229,45.22470925946303,31.44973177542622,149.1101521164021,112.18941064079954,46.385965685894114,84.69860462621438,113.43521829801277,96.75789857951207,149.1101521164021
199,203.5069792536898,76.0046470342523,50.7375208855472,20.25767213788983,44.57995653153266,15.274510863862227,6.113617376775272,192.51087788916738,203.5069792536898,15.979595464487836,12.948548656265285,20.25767213788983,101.28735635616819,192.51087788916738
200,113.28564568975257,110.40567167551688,114.94140210145746,88.45187540976768,87.57379895101896,85.33430332354258,81.86404925997063,54.006660264376904,121.26708846458027,60.539337259614406,57.65649583981718,83.93970685794908,111.34543388769632,54.006660264376904
201,44.27276841665506,44.59925497841526,49.65671563849046,57.289202026467024,56.9957450472419,56.550633832889545,119.81579863528756,74.16662895139953,51.60253620665645,40.44328676969386,43.73674156918082,56.34084488450028,44.894992595042474,74.16662895139953
202,118.39897614451186,121.34975409082551,123.5576794907152,111.76563659111127,109.63572739200549,107.82109634837201,73.47201921309065,39.73002849788564,123.65102155727156,45.74145936494004,41.172150891432274,107.93250785801114,120.88183091331126,39.73002849788564
203,63.231404532967034,53.14277129120879,57.06449175824176,66.97913535951808,51.25512770125019,51.26127753313939,93.42190934065934,83.29211881868132,73.12498282967033,38.39695358626692,49.93558817850364,64.14762138345479,55.570762936126364,83.29211881868132
204,43.636542792792795,35.49742867867868,33.78451576576577,69.34781805925438,71.73689540994982,72.12132428863957,9.448179429429429,146.95195195195194,43.64521396396396,25.403514882436273,70.84107708029757,69.36747260242628,37.10413202702703,146.95195195195194
205,92.44239390980114,69.29744096235795,64.0659512606534,81.44047391793343,90.36981010155533,91.57653530900001,33.55166903409091,136.2710626775568,92.4813565340909,61.47590181349201,91.75046403068234,81.51680384886676,73.8403444025213,136.2710626775568
206,192.69889322916666,160.82737918644514,88.01386965981013,61.776024292425426,59.8669957660057,33.755672364965854,19.38373961629747,139.54717579773208,192.7102946993671,11.333171246813883,42.93346973587414,61.741442124383056,162.3461276841047,139.54717579773208
207,44.02779072268426,68.05332305706911,83.23032872096358,63.492418014280155,94.95963177569638,93.78104912289753,106.10102702896472,181.7553591912819,83.33563055635217,27.668728232990446,77.7791974848902,93.77997404875856,64.04127469171208,181.7553591912819
208,207.56080708266452,229.01947481942216,244.13382825040128,67.85967050430173,36.34288149775206,24.47014956256357,82.42217596308186,48.31461928170145,247.06920896869983,48.71810484581947,65.23899388551717,14.628360383669435,225.54861837630418,48.31461928170145
209,123.60183923705722,127.42474544672308,116.51552416463502,63.84560813480358,62.484615642978845,63.524570523617534,51.847698264735406,31.398549165830108,128.11047373201396,36.50395995030738,27.326083254678572,62.162422984948186,125.82434980998136,31.398549165830108
210,116.38076505697232,122.05705710797612,120.34307175800326,63.01795491295663,62.79722421746536,60.565041744862754,77.75084780249593,20.112011665762346,123.12706863809007,22.548550800534098,18.56562817943729,61.76527170222691,120.72652767566468,20.112011665762346
211,47.33568413294023,17.368222326454035,12.181399088716162,78.40180069156253,29.392607423945492,29.21394847219985,29.04858952023586,191.15284441168586,49.743858885017424,29.75907909331408,77.66527987770843,77.1783190952909,23.364816068748322,191.15284441168586
212,45.03849644003909,37.53997975708502,29.038681418400113,63.71904685488422,57.41344595522239,46.74244948079777,27.47504886220857,139.09149448555075,45.11805807622505,43.028290825200706,73.83408306539903,63.66748923339534,38.52037066382801,139.09149448555075
213,175.52756283068783,169.22385912698414,148.65659722222222,25.39540486335988,25.35435054298007,32.356735738950974,26.972767857142856,40.13683862433862,175.93771494708994,12.844017499473264,28.173195191658678,25.182979304093283,169.0790702248677,40.13683862433862
214,77.74917782475922,40.00564756088012,34.60758750293634,75.94538379452752,54.9395195812039,50.7693761362841,18.312064442878395,164.21612442251978,77.75125283846214,45.49814323243535,82.9653833992142,75.94352583954219,47.640182158797266,164.21612442251978
215,76.01158154700413,62.09113910769628,63.04355388042355,77.49143157053028,72.85593911332096,73.33577822156066,56.68398921745868,85.4181099883781,78.72264817923553,68.10158096012736,73.68709059288105,78.92754713228119,65.11938951688403,85.4181099883781
216,224.40615327242216,196.15749114301695,162.36682360619056,42.35969891636284,47.918002099804916,84.22849903015288,45.49859220585493,81.90448443035615,230.44579526384487,43.32238949051605,87.31363245499688,30.762389261572537,199.72347051556963,81.90448443035615
217,74.35459719652545,73.47298441468845,76.26135971651667,82.03743040377864,83.48706626854376,81.64957798906983,104.2609990905955,43.36876352347204,76.60023048700178,49.48115801094684,46.889014695592664,81.91329684078744,73.861735988899,43.36876352347204
218,130.87168523176427,83.92717690741406,85.38344113067433,65.88459654464546,67.9242284997931,70.06829703893985,91.48302790753384,118.23492034974248,135.6524014852078,71.00763721224061,85.09499520679117,65.8930005658995,94.01272165409031,118.23492034974248
219,42.404865954444666,48.82621447288853,50.09327554928442,21.548726025807728,22.809746945024298,24.21670664654504,92.38736343479137,41.52214472888531,50.35989316670026,8.360413311940153,8.036955025097125,24.094605439325775,47.55251758758314,41.52214472888531
220,107.54210203212308,72.19319577037761,68.50083314540579,64.30165281518106,73.04672844233407,74.533213891505,30.81340675035706,121.45830827632865,107.91319940364329,59.28797233210532,81.32575677381456,64.5839854344243,79.44178466010175,121.45830827632865
221,123.37358316896778,54.42260355029586,89.01007232084154,63.80961287029046,60.9651055004904,44.243701607653286,122.26257725180803,171.62921104536488,124.27973701512163,64.44047374190131,63.86387528825463,63.02380699535954,71.57879706245889,171.62921104536488
222,79.34567198177676,77.96910064962456,82.64077308135775,87.85901072796302,88.46685145960896,86.28807244128997,109.60199949379904,37.20315531932844,82.80225821873506,46.23716149687327,32.009647740451314,86.38519335217283,78.59905446441125,37.20315531932844
223,215.7636637572735,143.0843897201441,138.71789709753395,33.115153251707056,66.51354079834255,69.38762994953461,67.27487271404821,112.50248077722361,218.08663237738986,72.72134258180263,63.080758550816604,29.72321740039178,158.22074261308535,112.50248077722361
224,52.759270826985194,60.46831007374002,58.4892284721799,64.08029210283601,66.92907422315162,65.67060491617032,71.08413066000365,87.71165975988787,62.43005362910598,39.76880333616206,82.78659893266558,66.76500339649779,58.6864786382473,87.71165975988787
225,62.29667703619909,80.15578337104073,159.78856052036198,72.03295543583776,63.03073757433765,36.16698353137186,111.21621889140272,172.8891968325792,161.69031391402714,20.218564225068857,74.19837222598039,36.39060509542517,82.1084238744344,172.8891968325792
226,170.77165578860655,167.01243584056778,163.42982067042647,61.26780407428502,60.24681945241908,59.240849110282106,14.669887839807362,16.360623534630253,170.77800836448895,10.72413554771891,34.01735607012631,61.256489374714135,167.5529811862366,16.360623534630253
227,62.92865018781049,69.44372955288986,50.87403974312371,57.69989853548248,56.71312101265896,57.71621412213595,41.05876045074518,108.91620016963529,70.46828426026899,12.830694607653037,58.40056534174128,57.52811117598364,66.71789207560886,108.91620016963529
228,84.50888081875206,93.01158798283262,65.84717728623308,51.50454249249048,50.48029172373025,54.53837899330496,39.20166721690327,91.20699900957412,93.01627599867943,5.058468365576,37.45566020272347,50.4908282405069,89.2426419874546,91.20699900957412
