image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2,warm_percentage,cold_percentage,unique_colors,quantized_colors,luminance_std,contrast_text_vs_background,bright_dark_ratio
108,135.26738410596028,115.68223357441617,126.24120447019868,79.21398238016796,83.17062909292619,53.1767317935707,79.8470775967236,115.60679352561868,157.71605415650052,54.06073251479349,53.296080143533146,67.78303181787933,120.60839427609793,115.60679352561868,73,55,107,130,124,107,31.3496645172534,53.68431944928547,45060,16,75.40573536648041,2.3438537125628853,0.4001394214011851
109,115.71750523224412,30.97626080205239,23.181727653254118,83.8634072981399,30.93969270437585,23.564240549225893,23.710319335673777,171.70615041857954,116.05926782338645,46.503286181663526,75.6173622205558,83.44402951878098,48.429484074567924,171.70615041857954,178,40,28,2,215,178,77.92288347285984,5.758000270051309,29869,16,41.81255611412515,1.3762343647136277,0.022013401296246286
11,183.05449623352166,45.30456685499058,39.087900188323914,49.77606842436905,15.178471777789609,13.431564158410124,3.500376647834275,203.6733757062147,183.05449623352166,20.18237003232354,17.408701235807197,49.77606842436905,74.14135850753296,203.6733757062147,205,51,44,1,200,205,100.0,0.0,10263,16,24.888991255330744,0.0,0.0
110,151.28373567576676,96.2424271149309,95.32201086956522,75.2198103495636,97.44303870348908,97.82697726848185,26.70225080047186,131.77309782608697,151.40328509437143,55.34598984950939,92.14898801524036,75.37528061633745,107.8777552620492,131.77309782608697,154,57,56,0,162,154,80.38001348163128,1.2022876643073812,33919,16,89.21825078972023,2.8193134025317876,0.30771823390630265
111,49.4263959390863,17.726615698898105,25.632583261111797,65.74483061469715,27.315128041430036,38.9168976010813,96.28220564566051,182.96811935124427,49.58155874705955,79.05905047489505,75.2968577515928,65.63345916820192,25.036799835953943,182.96811935124427,8,1,2,176,223,8,76.0585613470348,0.5896372415500806,16554,16,39.81760207338569,4.040103157860098,0.0
112,82.00698380566801,80.52827935222672,80.5091632928475,99.36753101382949,98.49630713949642,98.49273480526588,10.418542510121458,7.358387314439946,82.152995951417,33.73109893544783,28.46213669428792,99.29402523738614,80.84127173954114,7.358387314439946,12,12,12,0,0,12,4.991228070175438,3.6383265856950064,7558,16,98.61511892412182,3.9348662894022772,0.31021592442645074
113,123.15250718620248,114.68586599443354,140.10313911575489,98.03477096489851,99.96726128355917,83.73058960135671,104.85118857507871,90.93180521969248,142.0056520052927,50.09586086122098,79.21604601023446,84.42579643430516,118.32100103116301,90.93180521969248,33,26,66,125,155,66,9.094538486106675,65.66364009672857,79157,16,97.29195472674022,1.7620225891726973,0.40007756536022265
114,59.88841750153343,52.610713555510124,54.3507718258025,84.64014183267854,77.18168654153939,76.29303298764489,87.11922408505419,58.36273257002658,62.34249131057044,52.38688021107175,52.033830768898,83.48390345703129,54.28358562154977,58.36273257002658,10,10,13,120,59,13,13.476282968718053,66.47669188305049,6036,16,78.26159529615131,4.516339054471573,0.1970455939480679
115,249.1726710764627,245.2680230726829,233.49450744153083,11.519531770576595,19.708849412741877,39.64953450937285,42.98911331600913,18.349190881171747,249.78721749744074,43.55079048278624,33.54718277380554,11.717842468609671,245.24810340971732,18.349190881171747,253,253,250,30,3,253,37.713599496023306,11.254823214426333,15742,16,19.243658865039396,0.0,1.0
116,108.8180852856902,95.89498145963256,135.18658772964773,92.23582482231268,96.85193663680258,86.11203722055798,100.1544244058655,136.15677144783416,146.50788386988032,56.14557241609246,91.4157603305175,80.70129309644457,101.47928730574749,136.15677144783416,37,17,60,134,183,60,24.358250463509183,56.393477161638295,141196,16,91.21772025237898,2.0977635761469955,0.32406455418843755
