image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2,warm_percentage,cold_percentage,unique_colors,quantized_colors,luminance_std,contrast_text_vs_background,bright_dark_ratio
154_aug_74,40.283073340653516,31.25936162962402,26.275519669834537,75.3484181475384,55.59372310680753,20.104520214987605,101.88065578736132,173.13081670516073,49.2291280148423,46.507361565212854,54.57768045202971,71.29705276878177,32.81796934989209,173.13081670516073,9,8,18,123,142,18,28.541138162129414,69.72189617962212,15144,16,57.236242061751824,4.2846529210619195,0.12983226685850593
154_aug_82,40.306611174894755,31.264494833524683,26.26983352468427,75.28956024606434,55.513784954219986,19.975589026525945,101.91902985074627,172.82219670876387,49.24402028319939,46.52416378833246,54.68963291319224,71.23824476263279,32.82623422120169,172.82219670876387,9,8,18,123,142,18,28.59548411787218,69.6220818982013,15137,16,57.159297287539985,4.366616290092498,0.1294297742058936
155_aug_58,81.27427421672894,39.4101370125515,37.53020983041104,56.246087245454056,69.64714676120036,69.94504236406966,15.068602088722812,189.6552074350867,81.27540480981125,46.24869606380433,86.95333010480842,56.24952720477876,48.17472183960908,189.6552074350867,56,8,6,1,228,56,99.83903420523139,0.0,12528,16,65.51449282478978,2.8572253006563155,0.14498419085944236
15_aug_193,49.51568467918729,38.85393736675179,41.77177360423682,53.27056223920444,50.88088599899559,52.88521197737813,50.66560068102545,122.9814074023851,58.8671887359595,63.40182226826903,71.21542718069384,57.56778665776183,41.331292621722,122.9814074023851,25,13,15,175,122,25,70.7784331894441,19.55386805885145,102401,16,50.083470761587506,2.3578759374730462,0.0728448633052335
163_aug_128,170.72240993510852,95.54528977399866,115.76937793689864,48.84167453210069,73.21663338779726,57.4710497705594,129.5185388230029,130.32240993510854,170.72717610203625,67.14138406401376,66.95136000351333,48.843516507567095,112.988124685612,130.32240993510854,130,40,73,169,177,130,98.79055717162676,0.11300067129111659,54272,16,61.8701119866136,1.5392333006855141,0.3300290892817185
165_aug_159,62.71985353792726,43.0244984240228,50.78410056055716,65.02874100686878,50.75755837506389,50.573447014747224,93.85633127606968,84.82628390238378,67.75344921956099,62.41732268483769,62.73433116471103,63.14796768807999,47.77197419549667,84.82628390238378,35,27,37,144,69,37,33.101183398448555,42.86091765283204,24355,16,51.79671112200034,3.677384428637694,0.06811618821131306
165_aug_187,65.80860185138349,44.426399919065204,52.93618797106581,65.46626254455282,51.39879266671496,51.12758943261603,95.072196368051,86.89708634731144,70.78693914714958,62.90825635861854,63.50072624710372,63.51070497005432,49.58666274723051,86.89708634731144,37,28,39,145,72,39,34.120339926147,41.71556477312965,32205,16,52.25793633811284,3.9510735361933285,0.0713617279579139
171_aug_140,112.40374343757134,79.7139465875371,61.10308148824469,53.542803742399,64.02537786810211,69.90219574981768,11.036384387126226,147.60976945902763,112.40388039260444,5.105005584697127,69.41267360002533,53.54307597359673,85.32009293768546,147.60976945902763,83,45,23,11,184,83,99.94978315453092,0.009130335539831088,7572,16,61.49868205528487,2.319340942255158,0.22250627710568363
171_aug_160,109.19055293136982,77.65968324534593,60.0588496804668,54.6308359380289,64.83674751907311,70.2271939936828,10.951819949986108,147.74542928591276,109.19055293136982,4.447422010491455,69.62038805939304,54.6308359380289,83.09236595721033,147.74542928591276,79,42,21,11,187,79,99.98888580161156,0.0,5992,16,62.36188996475922,2.42947961492524,0.22278410669630452
171_aug_36,108.69138740797156,76.15930439197766,57.92539350088855,53.50160261202487,63.55658471710723,68.95969568777782,10.925806042142677,150.9494160954557,108.69148260979944,4.30339955522009,68.50511369211091,53.50180037979658,81.75913687484132,150.9494160954557,81,43,21,11,189,81,99.97143945163747,0.0031733942625031737,9436,16,61.109097967638625,2.402022078463414,0.20773038842345773
172_aug_170,72.06952081927287,52.027653393585496,60.637131371225685,36.84318194840842,42.179156172155025,42.469999006059645,154.56289210364153,88.93331377094398,73.74972857184777,35.75503271303853,33.00214701303784,39.5643926674085,56.91015871827225,88.93331377094398,53,32,39,170,101,53,84.36339094456997,14.682355702925557,43088,16,40.15577705968907,1.6607569186662772,0.08132867748466797
174_aug_117,211.02267427696378,221.64352254666528,229.1286325827446,24.952003761473712,27.151533472608232,35.63431463709922,97.57515168389425,42.48204155500644,239.5429703360828,34.04889691355951,26.773480656584024,14.983860266677997,219.9259551491316,42.48204155500644,215,232,244,102,30,244,15.456675831506168,72.88541630413346,37539,16,22.83226613782949,0.0,1.0
180_aug_182,60.61826562254908,62.076897088456384,63.90777899779191,25.456718654433423,23.31192744716338,19.044602648214322,87.61685389191211,31.159404901239185,66.09561156895158,39.566438018420534,20.287547966806553,23.17807148194453,61.898981712658504,31.159404901239185,42,45,50,109,41,50,16.06597729164907,68.01887133945486,16301,16,23.390243984678364,1.5507614710918727,0.027365855424303486
